Codigo,Nombre,Ciudad,Pabellon,Aforo,Fundacion,URL_Escudo,Año_Pabellon
UCM,UCAM Murcia,Murcia,Palacio De Los Deportes,7454,1985,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UCM/UCM.png?raw=true,1994
JOV,Asisa Joventut,Badalona,Palau Municipal D' Esports De Badalona,12760,1930,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/JOV/JOV.png?raw=true,1991
BAR,Barça,Barcelona,Palau Blaugrana,7786,1899,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/BAR/BAR.png?raw=true,1971
CAZ,Casademont Zaragoza,Zaragoza,Pabellón Príncipe Felipe,10744,2002,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/CAZ/CAZ.png?raw=true,1990
GIR,FIATC Girona,Girona,Palau Girona-Fontajau,5750,2014,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/GIR/GIR.png?raw=true,1993
ILE,Ilerna Lleida,Lleida,Espai Fruita Barris Nord,6100,2012,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/ILE/ILE.png?raw=true,2001
K&U,Kids&Us Manresa,Manresa,Pavelló Nou Congost,5000,1931,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/K&U/K&U.png?raw=true,1992
BKN,Kosner Baskonia,Vitoria-Gasteiz,Fernando Buesa Arena,15504,1959,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/BKN/BKN.png?raw=true,1990
LLT,La Laguna Tenerife,Tenerife,Pabellón De Deportes De Tenerife Santiago Martín,5100,1938,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/LLT/LLT.png?raw=true,1999
MBA,Morabanc Andorra,Andorra,Pavelló Toni Martí,5001,1970,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/MBA/MBA.png?raw=true,2014
RMB,Real Madrid,Madrid,Movistar Arena,13109,1902,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/RMB/RMB.png?raw=true,2005
BUR,Recoletas Salud San Pablo Burgos,Burgos,Coliseum Burgos,9604,1994,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/BUR/BUR.png?raw=true,2015
BRE,Río Breogán,Lugo,Pazo Provincial Dos Deportes De Lugo,5310,1966,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/BRE/BRE.png?raw=true,1992
SBB,Surne Bilbao,Bilbao,Bilbao Arena,10014,2000,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/SBB/SBB.png?raw=true,2010
UNI,Unicaja,Málaga,Palacio De Deportes José María Martín Carpena,10699,1977,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/UNI/UNI.png?raw=true,2010
VBC,Valencia Basket,Valencia,Roig Arena,15600,1986,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/VBC/VBC.png?raw=true,2025
COR,Leyma Coruña,Coruña,Coliseum,9300,1996,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/COR/COR.png?raw=true,1991
MOB,Monbus Obradoiro,Santiago De Compostela,Multiusos Fontes Do Sar,6000,1970,https://github.com/DJordanV/ACB_26-27/blob/develop/img/clubes/MOB/MOB.png?raw=true,1998
